round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
47,1,BTC,3,high,-0.0021860748529434204,0.01504560187458992,0.01723167672753334,0.01310454320628196,8
48,4,ETH,3,high,-0.00012879492715001106,0.006983716040849686,0.007112510967999697,-0.012254397675860668,8
49,3,ETH,1,high,0.0003036907874047756,0.004411504603922367,0.0041078138165175915,0.04364920169528988,9
50,5,ETH,7,high,0.0009141834452748299,0.010031155310571194,0.009116971865296364,0.032907187214328185,9
51,2,BTC,7,high,0.00101441890001297,0.020063908770680428,0.019049489870667458,0.02892552295492755,9
52,0,BTC,1,high,0.00026295846328139305,0.004818608518689871,0.004555650055408478,0.01567388056880898,9
53,1,BTC,3,high,-0.000828079879283905,0.010448954999446869,0.011277034878730774,0.011556473974552419,9
54,4,ETH,3,high,-4.6244822442531586e-05,0.005207655485719442,0.005253900308161974,-0.010897936247703098,9
55,3,ETH,1,high,0.00019782478921115398,0.002747048158198595,0.002549223368987441,0.039304064004682004,10
56,5,ETH,7,high,0.00018930062651634216,0.008374213241040707,0.008184912614524364,0.029635398555547,10
57,2,BTC,7,high,0.0011427216231822968,0.020024998113512993,0.018882276490330696,0.026147242821753024,10
58,0,BTC,1,high,-1.8082093447446823e-05,0.0042811972089111805,0.004299279302358627,0.014104684302583338,10
59,1,BTC,3,high,-0.000626041553914547,0.009812814183533192,0.010438855737447739,0.010338222421705722,10
60,4,ETH,3,high,-0.0016592713072896004,0.006732804700732231,0.008392076008021832,-0.009974069753661748,10
61,3,ETH,1,high,-0.0018804832361638546,0.005882628727704287,0.007763111963868141,0.0355600142555142,11
62,5,ETH,7,high,-0.0004792753607034683,0.01306975819170475,0.013549033552408218,0.02689770092679696,11
63,2,BTC,7,high,0.0003253575414419174,0.021085644140839577,0.02076028659939766,0.023799798705361107,11
64,0,BTC,1,high,0.0010840985924005508,0.009387522004544735,0.008303423412144184,0.012920994692566721,11
65,1,BTC,3,high,0.0010051615536212921,0.012949259020388126,0.011944097466766834,0.009489762342788956,11
66,4,ETH,3,high,0.0007531391456723213,0.009574525989592075,0.008821386843919754,-0.008998868944631378,11
67,3,ETH,1,high,0.00023936200886964798,0.006370538379997015,0.006131176371127367,0.032616626568293824,12
68,5,ETH,7,high,0.0008991081267595291,0.011364974081516266,0.010465865954756737,0.02473115152679384,12
69,2,BTC,7,high,0.00018011964857578278,0.01778043806552887,0.017600318416953087,0.021831492117295664,12
70,0,BTC,1,high,0.0002675475552678108,0.004440973047167063,0.004173425491899252,0.011866540764458477,12
71,1,BTC,3,high,7.71963968873024e-05,0.009510418400168419,0.009433222003281116,0.00870538184729715,12
72,4,ETH,3,high,-2.6508700102567673e-05,0.006028897128999233,0.006055405829101801,-0.00825117225758731,12
73,3,ETH,1,high,-0.0002059037797152996,0.003621055744588375,0.0038269595243036747,0.030091816541523892,13
74,5,ETH,7,high,-1.3218261301517487e-05,0.009210334159433842,0.00922355242073536,0.022827738466171123,13
