round,arm,asset,horizon,reward_lp,val_mse_before,val_mse_after,mean_reward_est,pulls_arm
56,6,XRP,1,0.0009850533679127693,0.013908992521464825,0.012923939153552055,-0.011941370554268362,4
57,4,LTC,3,0.0009143007919192314,0.014305650256574154,0.013391349464654922,-0.012921121437102556,4
58,5,LTC,7,0.001521676778793335,0.01839165762066841,0.016869980841875076,-0.014514939161017535,4
59,1,BTC,3,-0.00031599216163158417,0.018550381064414978,0.018866373226046562,-0.02889288566075265,4
60,0,BTC,1,0.0008468478918075562,0.012826027348637581,0.011979179456830025,-0.028791166143491868,4
61,3,LTC,1,-0.0008173896931111813,0.007794026751071215,0.008611416444182396,0.026078611519187687,5
62,10,ETH,3,-0.0003241393715143204,0.00519993482157588,0.0055240741930902,0.012611500918865204,5
63,9,ETH,1,-0.0012181210331618786,0.003462177235633135,0.004680298268795013,0.010377258760854602,5
64,12,DOGE,1,-0.0030341260135173798,0.010303734801709652,0.013337860815227032,0.00816869931295514,5
65,13,DOGE,3,-0.0036635100841522217,0.014296522364020348,0.01796003244817257,0.005496169254183769,5
66,8,XRP,7,-0.0032218992710113525,0.04170055314898491,0.04492245241999626,0.004085370898246765,5
67,14,DOGE,7,-0.005201144143939018,0.0222675371915102,0.02746868133544922,0.0033181101083755494,5
68,11,ETH,7,-0.0026398692280054092,0.021609541028738022,0.02424941025674343,0.0036863306537270545,5
69,7,XRP,3,0.0010345354676246643,0.03981821984052658,0.038783684372901917,-0.0005753953009843826,5
70,2,BTC,7,0.003345899283885956,0.027322763577103615,0.02397686429321766,-0.007188511267304421,5
71,6,XRP,1,0.004221433773636818,0.030364220961928368,0.02614278718829155,-0.008708809688687327,5
72,4,LTC,3,0.0050753820687532425,0.026802681386470795,0.021727299317717552,-0.009321820735931397,5
73,5,LTC,7,0.0053331442177295685,0.026829376816749573,0.021496232599020004,-0.010545322485268113,5
74,0,BTC,1,-0.0034717414528131485,0.003897460177540779,0.007369201630353928,-0.023727281205356124,5
75,1,BTC,3,-0.006946452893316746,0.012960449792444706,0.01990690268576145,-0.024503599107265468,5
76,3,LTC,1,0.0010166219435632229,0.0063922470435500145,0.005375625099986792,0.02190161325658361,6
77,10,ETH,3,-0.0003402950242161751,0.006455190479755402,0.006795485503971577,0.010452868261684975,6
78,9,ETH,1,0.0003868201747536659,0.004310278221964836,0.00392345804721117,0.008712185663171113,6
79,12,DOGE,1,-0.0010467509273439646,0.0031330750789493322,0.004179826006293297,0.006632790939571956,6
80,13,DOGE,3,-0.00167436758056283,0.005303381942212582,0.006977749522775412,0.004301079781726003,6
81,8,XRP,7,-0.0011223964393138885,0.030704785138368607,0.031827181577682495,0.0032174096753199892,6
82,11,ETH,7,-0.00010692235082387924,0.008721726946532726,0.008828649297356606,0.003054121819635232,6
83,14,DOGE,7,-0.0019050277769565582,0.011426741257309914,0.013331769034266472,0.002447587127486865,6
84,7,XRP,3,-0.002210281789302826,0.020522775128483772,0.022733056917786598,-0.0008478763823707898,6
85,2,BTC,7,8.192099630832672e-05,0.01742381975054741,0.017341898754239082,-0.005976772556702296,6
86,6,XRP,1,-0.0010708607733249664,0.018772300332784653,0.01984316110610962,-0.007435818202793601,6
87,4,LTC,3,0.0003940146416425705,0.02068035490810871,0.02028634026646614,-0.007702514839669069,6
88,5,LTC,7,0.002010457217693329,0.025527434423565865,0.023516977205872536,-0.00845269253477454,6
89,0,BTC,1,0.00339974882081151,0.010357373394072056,0.006957624573260546,-0.019206109534328185,6
90,1,BTC,3,0.002263447269797325,0.010614985600113869,0.008351538330316544,-0.020042424711088337,6
91,3,LTC,1,0.002148971427232027,0.008776719681918621,0.006627748254686594,0.019079807280961956,7
92,10,ETH,3,0.000170812476426363,0.005115271545946598,0.004944459069520235,0.008984003149505173,7
